"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"M&amp;M","EQ","16-Jul-2020","        550.15","        547.00","        574.50","        542.55","        568.95","        570.90","        565.80","   11752682","          6649679390.95","     144479"
"M&amp;M","EQ","17-Jul-2020","        570.90","        571.95","        591.25","        565.50","        587.55","        588.80","        580.02","    9124229","          5292250036.45","     149055"
"M&amp;M","EQ","20-Jul-2020","        588.80","        588.90","        597.60","        582.15","        588.55","        594.00","        589.74","    5771917","          3403951877.10","     100916"
"M&amp;M","EQ","21-Jul-2020","        594.00","        592.85","        597.50","        585.50","        588.00","        588.30","        591.97","    3850519","          2279399418.05","      87640"
"M&amp;M","EQ","22-Jul-2020","        588.30","        588.60","        612.00","        582.00","        590.45","        592.00","        597.04","   11559026","          6901146155.15","     134171"
"M&amp;M","EQ","23-Jul-2020","        592.00","        590.95","        609.00","        584.50","        602.25","        603.35","        599.01","    7606029","          4556102740.45","     103358"
"M&amp;M","EQ","24-Jul-2020","        603.35","        594.10","        600.95","        590.10","        599.00","        598.70","        595.66","    3531712","          2103704932.75","      57125"
"M&amp;M","EQ","27-Jul-2020","        598.70","        598.15","        600.00","        588.00","        588.55","        594.40","        593.76","    3345207","          1986258914.35","      39897"
"M&amp;M","EQ","28-Jul-2020","        594.40","        591.60","        625.80","        588.75","        620.50","        620.35","        612.39","   10289451","          6301205785.85","     131791"
"M&amp;M","EQ","29-Jul-2020","        620.35","        620.00","        624.90","        601.00","        603.75","        604.85","        611.18","    5182955","          3167693103.20","      65494"
"M&amp;M","EQ","30-Jul-2020","        604.85","        606.00","        614.80","        596.25","        599.00","        598.35","        602.85","    4958327","          2989107246.25","      65486"
"M&amp;M","EQ","31-Jul-2020","        598.35","        599.90","        610.85","        592.15","        610.00","        606.45","        602.28","    3962668","          2386641654.85","      55046"
"M&amp;M","EQ","03-Aug-2020","        606.45","        610.00","        620.50","        594.20","        597.00","        597.15","        606.65","    5002825","          3034954513.15","      68054"
"M&amp;M","EQ","04-Aug-2020","        597.15","        597.15","        609.60","        597.15","        602.00","        602.60","        603.63","    4889759","          2951615607.40","      71901"
"M&amp;M","EQ","05-Aug-2020","        602.60","        605.90","        620.00","        603.20","        619.00","        614.25","        612.18","    3834862","          2347622163.40","      62676"
"M&amp;M","EQ","06-Aug-2020","        614.25","        618.00","        618.00","        605.55","        610.75","        609.65","        609.79","    3857563","          2352298482.50","      67305"
